trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block_Number,Trial_Number,Subject_Key,Correct_Key,Subject_Response,Correct_Response,Answered_Correctly,Left_Zoid,Left_Zoid_Orientation,Right_Zoid,Right_Zoid_Orientation,Response.rt,date,frameRate,expName,session,participant,
52,0,52,0,0,52,m,x,yes,no,False,z,90,l,0,0.142222259426,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
53,0,53,0,0,53,m,m,yes,yes,True,l,270,l,270,0.262119439896,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
54,0,54,0,0,54,m,x,yes,no,False,i,0,s,90,0.180838498985,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
55,0,55,0,0,55,m,x,yes,no,False,i,0,z,0,0.0235658467282,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
56,0,56,0,0,56,m,x,yes,no,False,j,180,l,180,0.0827577738091,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
57,0,57,0,0,57,m,m,yes,yes,True,t,270,t,270,0.519332068507,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
58,0,58,0,0,58,m,x,yes,no,False,z,90,l,180,0.341256786836,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
59,0,59,0,0,59,m,x,yes,no,False,z,90,t,90,0.00117804529145,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
60,0,60,0,0,60,m,x,yes,no,False,o,0,t,180,0.0405442956835,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
61,0,61,0,0,61,m,m,yes,yes,True,l,270,l,0,0.639184012776,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
62,0,62,0,0,62,m,m,yes,yes,True,t,0,t,180,0.403095989488,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
63,0,63,0,0,63,m,x,yes,no,False,s,90,z,0,0.401042868616,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
64,0,64,0,0,64,m,m,yes,yes,True,j,180,j,180,0.242299085017,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
65,0,65,0,0,65,m,m,yes,yes,True,t,0,t,0,0.121603996493,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
66,0,66,0,0,66,m,x,yes,no,False,o,0,t,0,0.400314525468,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
67,0,67,0,0,67,m,x,yes,no,False,s,90,z,90,0.679584616562,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
68,0,68,0,0,68,m,x,yes,no,False,z,90,j,0,0.600993526634,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
69,0,69,0,0,69,m,m,yes,yes,True,t,180,t,270,0.658636014443,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
70,0,70,0,0,70,m,x,yes,no,False,l,90,j,270,0.123030651594,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
71,0,71,0,0,71,m,x,yes,no,False,t,270,l,270,0.579815321835,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
72,0,72,0,0,72,m,x,yes,no,False,l,180,i,0,0.0215530202258,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
