Block_Number,Trial_Number,Subject_Key_Box,Correct_Response,Answered_Correctly,Left_Zoid,Left_Zoid_Orientation,Right_Zoid,Right_Zoid_Orientation,Response.rt.box,date,frameRate,SID,RIN
1,22,3,same,TRUE,i,90,i,90,0.951768459,2018_Apr_03_1538,59.95677375,18S051,661637493
1,23,2,diff,TRUE,z,90,s,90,10.67603947,2018_Apr_03_1538,59.95677375,18S051,661637493
1,24,2,diff,TRUE,l,180,i,0,2.686339636,2018_Apr_03_1538,59.95677375,18S051,661637493
1,25,3,same,TRUE,j,270,j,90,3.153330059,2018_Apr_03_1538,59.95677375,18S051,661637493
1,26,2,diff,TRUE,s,0,l,0,1.269024856,2018_Apr_03_1538,59.95677375,18S051,661637493
1,27,2,diff,TRUE,t,270,l,180,0.918233936,2018_Apr_03_1538,59.95677375,18S051,661637493
1,28,3,same,TRUE,l,180,l,180,0.734695894,2018_Apr_03_1538,59.95677375,18S051,661637493
1,29,2,diff,TRUE,z,0,j,0,0.635753043,2018_Apr_03_1538,59.95677375,18S051,661637493
1,30,3,same,TRUE,t,0,t,180,1.001294586,2018_Apr_03_1538,59.95677375,18S051,661637493
1,31,2,diff,TRUE,z,90,t,90,0.734427131,2018_Apr_03_1538,59.95677375,18S051,661637493
1,32,2,diff,TRUE,j,180,s,0,0.686159853,2018_Apr_03_1538,59.95677375,18S051,661637493
1,33,3,same,TRUE,t,270,t,0,0.734520122,2018_Apr_03_1538,59.95677375,18S051,661637493
1,34,3,same,TRUE,z,90,z,90,0.651065262,2018_Apr_03_1538,59.95677375,18S051,661637493
1,35,2,diff,TRUE,t,270,j,90,0.703683444,2018_Apr_03_1538,59.95677375,18S051,661637493
1,36,2,diff,TRUE,t,180,j,180,0.834674051,2018_Apr_03_1538,59.95677375,18S051,661637493
1,37,3,same,TRUE,t,90,t,0,2.019542052,2018_Apr_03_1538,59.95677375,18S051,661637493
1,38,3,same,TRUE,i,0,i,0,0.782633145,2018_Apr_03_1538,59.95677375,18S051,661637493
1,39,2,diff,TRUE,t,0,j,90,0.784920733,2018_Apr_03_1538,59.95677375,18S051,661637493
1,40,2,diff,TRUE,j,0,l,180,2.46908437,2018_Apr_03_1538,59.95677375,18S051,661637493
1,41,2,diff,TRUE,t,180,l,180,0.768056104,2018_Apr_03_1538,59.95677375,18S051,661637493
1,42,2,diff,TRUE,z,0,l,90,1.202008687,2018_Apr_03_1538,59.95677375,18S051,661637493
1,43,2,diff,TRUE,t,270,j,270,0.801256587,2018_Apr_03_1538,59.95677375,18S051,661637493
1,44,2,diff,TRUE,j,90,s,90,1.034698921,2018_Apr_03_1538,59.95677375,18S051,661637493
1,45,2,diff,TRUE,l,0,s,90,0.750900831,2018_Apr_03_1538,59.95677375,18S051,661637493
1,46,3,same,TRUE,l,180,l,270,3.286742088,2018_Apr_03_1538,59.95677375,18S051,661637493
1,47,2,diff,TRUE,t,0,j,0,0.73478451,2018_Apr_03_1538,59.95677375,18S051,661637493
1,48,3,same,TRUE,z,90,z,0,2.219443663,2018_Apr_03_1538,59.95677375,18S051,661637493
1,49,3,same,TRUE,j,0,j,270,1.785448778,2018_Apr_03_1538,59.95677375,18S051,661637493
1,50,3,same,TRUE,t,270,t,180,0.767720241,2018_Apr_03_1538,59.95677375,18S051,661637493
1,51,2,diff,TRUE,j,0,z,0,0.669836397,2018_Apr_03_1538,59.95677375,18S051,661637493
